section_id,message_ar,message_en
4,أشتاق إليك شوق الحروف لنطق اسمك، وشوق القصائد لحضورك الذي يمنحها المعنى.,I miss you like letters miss their meaning before your name graces them.
4,كل مساء يمر دونك، كأنه عمر كامل من الوحدة، وكأن العالم يسكنه الفراغ.,Each evening without you feels like an age filled with aching silence.
4,أحبك في كل لحظة غياب، كما تحب الصحراء مطرًا لا يأتي إلا مرة في العمر.,I love you like the desert loves a rain that visits once in a lifetime.
4,حين تغيب، يصبح الوقت رمادًا، وتتحول الأيام إلى انتظار لا ينتهي.,"When you are gone, time turns to ashes and days to endless waiting."
4,أحن إليك كأنك نبضي، وكأنك الحياة التي ترفض أن تسكن غير قلبي.,"I long for you as if you're my pulse, the only life flowing through me."
4,غيابك غابة من الصمت، أضيع فيها كلما حاولت الهروب من ذكراك.,Your absence is a forest of silence where I lose myself endlessly.
4,أراك في تفاصيل الأشياء، في ظل الغيم، وفي همس الرياح البعيدة.,I see you in the whispers of clouds and in the sighs of faraway winds.
4,كل الطرق التي أهرب منها إليك، تشهد أنني لا أملك إلا حبك.,Every path I escape through brings me back to the ache of your love.
4,أشتاقك شوق المآذن لصوت الأذان بعد صمت طويل.,I yearn for you like minarets crave the call to prayer after silence.
4,أنت لست شخصًا عابرًا، بل حالة عشق تسكنني كالدعاء في سجدة خاشعة.,"You're not a passing soul, but a prayer of love nestled in my heart."
4,في كل لحظة ألمس فيها غيابك، أكتب قصيدة لا تنتهي من الحنين.,"With every touch of your absence, I write a poem of endless yearning."
4,غيابك لا يُقاس بالمسافات، بل بثقل الوقت الذي لا يمر.,"Your absence is not distance, but time too heavy to carry alone."
4,أحبك كما يحب الضوء مرآته، كما تحب النجوم ظلمة الليل.,"I love you as light loves its reflection, as stars love the night."
4,أنتظر عودتك كما تنتظر الأشجار أول قطرة بعد عام من الجفاف.,I await your return like trees wait for rain after years of thirst.
4,أنت الحنين الذي لا يشبهه حنين، والفراغ الذي لا يملؤه سواك.,"You are longing itself, unmatched and unfulfilled but eternal."
4,كل مساء يطرق باب قلبي باسمك، فأفتحه باشتياق لا يُروى.,Each evening knocks on my heart with your name in soft ache.
4,حتى لو كانت المسافات بيننا بحورًا، فقلبي يسبح إليك بلا تعب.,"Even if seas divide us, my heart swims to you without tiring."
4,أنت لست في البعد، أنت في كل نبض وكل خيال وكل دعاء أتمناه.,"You are never far, you’re in every breath, thought, and prayer."
4,شوقي إليك صلاة لا تنقطع، أرفعها إلى الله كلما اشتدت غربتي.,My longing for you is an endless prayer rising in my solitude.
4,ذكراك تحاصرني كالعطر في غرفة مغلقة، لا أتنفس إلا بك.,Your memory clings like perfume in a closed room—I breathe you.
4,أنت بداية كل فكرة جميلة، ونهاية كل وجع طويل.,You are the beginning of every beauty and the end of every ache.
4,أحن إليك كأنك الهواء الوحيد الذي يعرف رئتي.,I crave you like lungs crave their only air to stay alive.
4,حبك كتاب مفتوح لا أملّ من قراءته، رغم أنني أحفظه غيبًا.,"Your love is an open book I never tire of, though I know it by heart."
4,كل نبض في قلبي يناديك، حتى وأنا أبتسم لغيرك.,"Every beat of my heart whispers your name, even in others’ smiles."
4,أحتاجك كاحتياج الطفل لضحكة أمه بعد خوف طويل.,I need you like a child needs a mother's laugh after fear.
4,أراك بين السطور، خلف الكلمات، وبين رعشة الحروف.,"I see you in letters, behind words, within trembling lines."
4,أحبك رغم الغياب، وكأن المسافات تزيدني قربًا منك.,"I love you across absence, as if distance deepens our closeness."
4,كل الذكريات الجميلة تبدأ بك، وتنتهي عند ملامحك.,Every beautiful memory starts with you and ends in your eyes.
4,كأنك وعد مؤجل، كلما اقتربت منه ابتعد الزمان.,"You're a promise delayed, time keeps running away from you."
4,أنت لحني المفضل، الذي أعزفه في صمت لا يسمعه غير قلبي.,"You’re the melody I play in silence, heard only by my soul."
4,شوقي إليك ليس له موسم، فهو دائم كشروق الشمس.,My longing has no season—it rises daily like the morning sun.
4,أنت دهشة القلب، وارتباك الحروف حين أنطق اسمك.,"You are the heart’s surprise, the flutter in every whispered name."
4,كل نبضة تقول لي إنك الحاضر في غيابي.,Each heartbeat declares you’re present in my deepest absence.
4,أنت الحكاية التي لا تنتهي، ولو كتبها الزمان ألف مرة.,"You are the tale I never tire of, no matter how often it's retold."
4,حين أشتاق إليك، تضيق بي الأرض، ويتسع فيك قلبي.,"When I miss you, the world shrinks but my heart grows for you."
4,أنت الحنين الذي يجعلني أكتب، وأنا لا أجيد الكتابة إلا لك.,"You're the reason I write, though I only know how to write you."
4,يا من تسكنني كأنفاسي، كيف أشرح الغياب وأنت في كل مكان؟,You live in me like my breath—how can I explain your absence?
4,صوتك موسيقى للروح، وصورتك دعاء لا يغادر الذاكرة.,"Your voice is a symphony, your image a prayer I never forget."
4,أشتاقك حد التلاشي، كأنني لا أكتمل إلا بك.,I miss you until I vanish—I only exist when you're near.
4,أنت نبض السؤال الذي لا إجابة له إلا حضورك.,You are the question with one answer: your nearness.
4,غيابك لا يشبه الغياب، بل يشبه النهاية المفتوحة لكل شيء.,"Your absence is not silence, it's an ending that never ends."
4,أراك في الحلم أجمل، ولكن استيقاظي بعدك موجع.,"In dreams, you’re divine; waking up is a wound I carry."
4,أشتاق إليك كأنك القصيدة الأولى التي جعلتني شاعرًا.,"I miss you like my first poem, the one that made me a poet."
4,أنت الهدوء في ضوضاء حياتي، والدفء في صقيع وحدتي.,"You're calm in my chaos, warmth in my frost-bitten solitude."
4,كلما سقط المطر، ظننتك قادمًا مع كل قطرة.,"When rain falls, I imagine you in every drop."
4,أكتبك في دفاتري سرًا، وأهتف بك في صلاتي جهرًا.,"I write your name in notebooks, and shout it in prayer."
